date,product,min_price,avg_price,max_price,demand,supply,season
2023-01-01,Rice,2350,3771,4900,1500,1200,Winter
2023-01-01,Wheat,1850,2950,3800,1200,1000,Winter
2023-01-01,Corn,1700,2650,3500,1100,900,Winter
2023-01-01,Potato,800,1250,1600,2000,1800,Winter
2023-02-01,Rice,2400,3820,4950,1450,1250,Winter
2023-02-01,Wheat,1900,3000,3900,1150,950,Winter
2023-02-01,Corn,1750,2700,3600,1050,850,Winter
2023-02-01,Potato,850,1300,1700,1900,1700,Winter
2023-03-01,Rice,2450,3900,5000,1600,1100,Spring
2023-03-01,Wheat,1950,3100,4000,1250,900,Spring
2023-03-01,Corn,1800,2800,3700,1150,800,Spring
2023-03-01,Potato,900,1400,1800,1800,1600,Spring
2023-04-01,Rice,2500,3950,5100,1700,1000,Spring
2023-04-01,Wheat,2000,3150,4100,1300,850,Spring
2023-04-01,Corn,1850,2900,3800,1200,750,Spring
2023-04-01,Potato,950,1450,1900,1700,1500,Spring
